year,month,commodity_group,cpi_value,inflation_rate_pct
2022,10,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",111.7,3.7
2022,10,"RECREATION, SPORT AND CULTURE",108.5,3.0
2022,10,RESTAURANTS AND ACCOMMODATION SERVICES,116.6,5.7
2022,10,TRANSPORT,129.5,12.5
2022,11,ALCOHOLIC BEVERAGES AND TOBACCO,159.0,10.6
2022,11,ALL ITEMS,119.0,8.0
2022,11,CLOTHING AND FOOTWEAR,111.5,3.6
2022,11,EDUCATION SERVICES,111.2,3.6
2022,11,FINANCIAL SERVICES,143.3,0.0
2022,11,FOOD AND NON-ALCOHOLIC BEVERAGES,120.2,10.0
2022,11,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",114.2,4.5
2022,11,HEALTH,116.5,2.8
2022,11,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",115.5,6.9
2022,11,INFORMATION AND COMMUNICATION,102.4,0.7
2022,11,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",112.4,4.2
2022,11,"RECREATION, SPORT AND CULTURE",108.9,3.3
2022,11,RESTAURANTS AND ACCOMMODATION SERVICES,117.5,6.5
2022,11,TRANSPORT,131.0,12.3
2022,12,ALCOHOLIC BEVERAGES AND TOBACCO,159.7,10.7
2022,12,ALL ITEMS,119.4,8.1
2022,12,CLOTHING AND FOOTWEAR,111.9,3.9
2022,12,EDUCATION SERVICES,111.2,3.6
2022,12,FINANCIAL SERVICES,143.3,0.0
2022,12,FOOD AND NON-ALCOHOLIC BEVERAGES,121.3,10.2
2022,12,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",114.6,4.8
2022,12,HEALTH,116.9,3.1
2022,12,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",116.1,7.0
2022,12,INFORMATION AND COMMUNICATION,102.5,0.7
2022,12,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",112.9,4.5
2022,12,"RECREATION, SPORT AND CULTURE",109.6,3.9
2022,12,RESTAURANTS AND ACCOMMODATION SERVICES,118.1,7.0
2022,12,TRANSPORT,128.4,11.7
2023,1,ALCOHOLIC BEVERAGES AND TOBACCO,161.2,10.9
2023,1,ALL ITEMS,121.4,8.7
2023,1,CLOTHING AND FOOTWEAR,112.7,4.4
2023,1,EDUCATION SERVICES,111.2,3.6
2023,1,FINANCIAL SERVICES,143.3,0.0
2023,1,FOOD AND NON-ALCOHOLIC BEVERAGES,124.6,10.7
2023,1,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",115.7,5.2
2023,1,HEALTH,117.6,3.3
2023,1,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",118.0,8.6
2023,1,INFORMATION AND COMMUNICATION,102.6,0.7
2023,1,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",113.9,5.0
2023,1,"RECREATION, SPORT AND CULTURE",110.1,4.2
2023,1,RESTAURANTS AND ACCOMMODATION SERVICES,119.1,7.6
2023,1,TRANSPORT,129.3,11.1
2023,2,ALCOHOLIC BEVERAGES AND TOBACCO,162.0,11.0
2023,2,ALL ITEMS,121.4,8.6
2023,2,CLOTHING AND FOOTWEAR,113.3,4.8
2023,2,EDUCATION SERVICES,111.2,3.6
2023,2,FINANCIAL SERVICES,143.3,0.0
2023,2,FOOD AND NON-ALCOHOLIC BEVERAGES,123.6,10.8
2023,2,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",116.9,6.2
2023,2,HEALTH,118.4,4.0
2023,2,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",118.7,8.6
2023,2,INFORMATION AND COMMUNICATION,102.7,0.8
2023,2,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",114.6,5.3
2023,2,"RECREATION, SPORT AND CULTURE",110.7,4.4
2023,2,RESTAURANTS AND ACCOMMODATION SERVICES,120.1,8.1
2023,2,TRANSPORT,129.0,9.0
2023,3,ALCOHOLIC BEVERAGES AND TOBACCO,165.2,12.2
2023,3,ALL ITEMS,121.1,7.6
2023,3,CLOTHING AND FOOTWEAR,113.8,5.0
2023,3,EDUCATION SERVICES,111.2,3.6
2023,3,FINANCIAL SERVICES,143.3,0.0
2023,3,FOOD AND NON-ALCOHOLIC BEVERAGES,122.1,9.3
2023,3,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",117.3,6.2
2023,3,HEALTH,118.6,3.9
2023,3,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",119.2,7.6
2023,3,INFORMATION AND COMMUNICATION,102.7,0.7
2023,3,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",115.1,5.6
2023,3,"RECREATION, SPORT AND CULTURE",110.9,4.6
2023,3,RESTAURANTS AND ACCOMMODATION SERVICES,120.7,8.3
2023,3,TRANSPORT,128.2,5.3
2023,4,ALCOHOLIC BEVERAGES AND TOBACCO,168.2,12.7
2023,4,ALL ITEMS,120.9,6.6
2023,4,CLOTHING AND FOOTWEAR,114.1,5.1
2023,4,EDUCATION SERVICES,111.2,3.6
2023,4,FINANCIAL SERVICES,143.3,0.0
2023,4,FOOD AND NON-ALCOHOLIC BEVERAGES,121.4,7.9
2023,4,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",117.6,6.1
2023,4,HEALTH,118.9,4.1
2023,4,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",118.7,6.5
2023,4,INFORMATION AND COMMUNICATION,102.7,0.7
2023,4,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",115.5,5.7
2023,4,"RECREATION, SPORT AND CULTURE",111.2,4.7
2023,4,RESTAURANTS AND ACCOMMODATION SERVICES,121.2,8.6
2023,4,TRANSPORT,128.4,2.6
2023,5,ALCOHOLIC BEVERAGES AND TOBACCO,169.6,12.3
2023,5,ALL ITEMS,120.9,6.1
2023,5,CLOTHING AND FOOTWEAR,114.5,5.1
2023,5,EDUCATION SERVICES,111.2,3.6
2023,5,FINANCIAL SERVICES,143.3,0.0
2023,5,FOOD AND NON-ALCOHOLIC BEVERAGES,121.6,7.4
2023,5,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",117.9,6.2
2023,5,HEALTH,119.2,4.1
2023,5,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",118.7,6.5
